,Title,Channel name,Views,Game
572,LittleBigPlanet Soundtrack The Gardens,BunnyBoiler72,976101,LittleBigPlanet
573,Metal Gear Solid 3 Snake Eater Theme [FLAC],Nima5124,967964,Metal Gear Solid 3 Snake Eater
577,Mega Man X Armored Armadillo Genesis Version ,MyNewSoundtrack,950148,Mega Man X
580,Metal Gear Solid 2 OST Main Theme,VideoGameMusicTube,939593,Metal Gear Solid
581,Now or Never Splatfest Splatoon 3 OST,Ka24F\s\W\d]+$', na=False)]
series.dropna(inplace=True)al Freeze Soundtrack Grassland Groove,piplupwater,835651,Donkey Kong Country
616,Fire Emblem Three Houses Main Theme,LetsPlayGreatGames,815792,Fire Emblem Three Houses
619,S T A L K E R Shadow Of Chernobyl [Music] Menu Theme,xRussianYulia17x,808874,S T A L K E R Shadow Of Chernobyl
621,Donkey Kong Country 2 Mining Melancholy [Restored],Jammin' Sam Miller,803663,Donkey Kong Country
624,Fractured Shrines Dead Cells Fatal Falls Official Soundtrack ,Valmont,800289,Dead Cells
626,Phoenix Wright Trials and Tribulations OST Godot ~ The Fragrance of Black Coffee,Gyakuten Saiban Sound Box,798327,Black
630,WarioWare Get It Together Penny’s Song English Version Nintendo Switch,Nintendo of America,793816,WarioWare Get It Together 
631,Theme Of Bayonetta Mysterious Destiny,Helena Noguerra  - Topic,793136,Bayonetta
634,Tentacle to the Metal Damp Socks feat Off the Hook Splatoon 3 OST,Kara,785588,Splatoon 3
636,Crash Bandicoot Wrath Of Cortex Wizards And Lizards Music,TheCrashKing,777836,Crash Bandicoot
638,Darkest Dungeon OST Color of Madness The Senescence 2018 HQ Official,Stuart Chatwood,771936,Darkest Dungeon
641,Yume Nikki OST Snow World,MoonWindow00,770627,Yume Nikki
644,[Music] No More Heroes We Are Finally Cowboys,gmaster2647,762448,No More Heroes
650,Donkey Kong Country DK Island Swing [Restored],Jammin' Sam Miller,750854,Donkey Kong Country
652,Undertale Yellow OST 031 Protocol,Undertale Yellow,747491,Undertale
653,Undertale Yellow OST 014 Forlorn,Undertale Yellow,744042,Undertale
657,Sigma Overwatch Heroes Villains,PlayOverwatch,722084,Overwatch
664,Donkey Kong Country Tropical Freeze Soundtrack Windmill Hills,piplupwater,701893,Donkey Kong Country
665,Destiny 2 Shadowkeep Original Soundtrack – Track 22 – The Sanctified Mind,Destiny 2,699020,Destiny 2
