,Title,Channel name,Views,Game
1342, 26 Pure Love in Kamurocho Akiyama Hana Yakuza 4,Phantasmal Zeraslight,88321,Yakuza 4
1343,Lost Woods The Legend of Zelda Ocarina of Time OST,General Gold (Rebranding Soon),88121,The Legend of Zelda Ocarina of Time
1344,Honeylune Ridge Escape Super Mario Odyssey OST,Dave's OSTs,88092,Super Mario Odyssey
1351,Nioh 2 OST Battle Theme 1,mkfan786,86533,Nioh 2
1352,Tiki Tak Tribe Donkey Kong Country Returns ,Bootleg Bird,86465,Donkey Kong Country
1354,To a New Adventure Mario Luigi Bowser s Inside Story OST,Cha Chingo Christiano,86324,Mario Luigi Bowser s Inside Story
1355,Super Mario 64 Remastered Shifting Sand Land,Church of Kondo,85940,Super Mario 64
1359,Overwatch 2 Original Soundtrack Colosseo,PlayOverwatch,84838,Overwatch 2
1361,10 A M Animal Crossing New Leaf,Nostalgia OST,84098,Animal Crossing
1369,Bloodborne,SIE Sound Team - Topic,80526,Bloodborne
1384,Pokémon Sun Moon Battle Royal Music Highest Quality ,Pokeli,78052,Pokémon Sun
1389,Bowser s Castle Main Courtyard Super Mario Odyssey OST,Dave's OSTs,76355,Super Mario Odyssey
1393,Clint Mansell Leaving Earth from Mass Effect 3 Official Video ,Clint Mansell,75253,Mass Effect 3
1395,35 Ruined Roost Donkey Kong Country Returns OST,SMBGamingOST,74993,Donkey Kong Country
1399,The Wind is Blowing at Cavi Cape Mario Luigi Bowser s Inside Story OST,Cha Chingo Christiano,74431,Mario Luigi Bowser s Inside Story
1401,Dorado Overwatch Cities Countries,PlayOverwatch,73596,Overwatch
1404,Mario Luigi Superstar Saga Bowser s Minions Ost Come On ,Raphael Savoie,71814,Mario Luigi Superstar Saga Bowser s Minions
1410,Crash Bandicoot OST Main Menu,Video Game Soundtracks GR,69190,Crash Bandicoot
1417,Fi s Farewell The Legend of Zelda Skyward Sword,Nintendo Soundtracks,67829,The Legend of Zelda
1421,Lake Lamode Main Area Super Mario Odyssey OST,Dave's OSTs,67100,Super Mario Odyssey
1427,X Naut Fortress Paper Mario The Thousand Year Door Remake OST All Floors ,Sylvie,64987,Paper Mario The Thousand Year Door
1430,Super Mario Galaxy 1 01 Overture,Silas Sterling's Archival Stash [BRLA],64419,Super Mario Galaxy
1431,Red Dead Redemption [OST] 16 Far Away,GronkhOSTs,64284,Red Dead Redemption
1436,Fi s Gratitude The Legend of Zelda Skyward Sword,Nintendo Soundtracks,63085,The Legend of Zelda
1447,[OST] Pikmin 3 – Garden of Hope,NintendoViewer,59992,Pikmin 3
1465,Back Beat Battle Restored MOTHER 3,irikachana,56945,MOTHER 3
1468,Beachside Dream Mario Luigi Bowser s Inside Story OST,Cha Chingo Christiano,56514,Mario Luigi Bowser s Inside Story
1477,Paradise Planning Outdoors Day Animal Crossing New Horizons – Happy Home Paradise,Jaye,54844,Animal Crossing
1478,Tragic Reconstruction Restored MOTHER 3,irikachana,54736,MOTHER 3
1480,Dragon Quest IX Malroth ~ The True Evil Dragon Quest II ,EllenofTroy,54142,Dragon Quest
1482,Newer Super Mario Bros Wii Soundtrack Title Theme,Misana89,53724,Super Mario Bros 
1493,Phoenix Wright Ace Attorney Steel Samurai Theme w Vocals High Quality ,dmac,51197,Phoenix Wright Ace Attorney
1497,Darth Nihilus Star Wars Knights of the Old Republic II soundtrack,Crimson,50137,Star Wars Knights of the Old Republic
1498,Super Mario Galaxy 1 17 Gusty Garden Galaxy,Silas Sterling's Archival Stash [BRLA],50071,Super Mario Galaxy
1505,Brigitte Overwatch Heroes Villains,PlayOverwatch,49386,Overwatch
1510,Wolves Among Sheep For Honor Original Game Soundtrack ,Ubisoft Music,48329,For Honor
1512,Hyrule Field Theme 2 The Legend of Zelda Echoes of Wisdom OST,Zelda Universe,48081,The Legend of Zelda
1515,Mario Luigi Superstar Saga Bowser s Minions Ost Cackletta s Theme,Raphael Savoie,47552,Mario Luigi Superstar Saga Bowser s Minions
1516,Pac Man World 3 Soundtrack Music Zephyr Heights Part 1 Action ,RingsOfGeonosis,47519,Pac Man
1523,Fate stay night [Réalta Nua] PS2 OST Deep Sleep,Emiya2004,46444,Fate stay night
1527,Dragon Quest VIII [Tokyo Suite] War Cry ~ Defeat the Enemy,molydrop,45414,Dragon Quest
1528,The Giant Mario Luigi Bowser s Inside Story OST,Cha Chingo Christiano,45292,Mario Luigi Bowser s Inside Story
1530,Crash Bandicoot 2 The Eel Deal Sewer or later Theme Pre Console Version ♫,S.T Games,44549,Crash Bandicoot
1531,Deep Castle Mario Luigi Bowser s Inside Story OST,Cha Chingo Christiano,44425,Mario Luigi Bowser s Inside Story
1535,Dead Cells The Crypt,K A,43975,Dead Cells
1537,Donkey Kong Country Gangplank Galleon [Restored] 2024 Mix,Jammin' Sam Miller,43537,Donkey Kong Country
1540,Fawful is There Mario Luigi Bowser s Inside Story OST,Cha Chingo Christiano,43300,Mario Luigi Bowser s Inside Story
1542,Graveyard Ops Normal Wave A High Plants Vs Zombies Garden Warfare 2 OST,Hey2mJay,42755,Plants Vs Zombies
1543,Hyrule Field The Legend of Zelda Ocarina of Time OST Remastered,A Gamer To The Past,42651,The Legend of Zelda Ocarina of Time
1548,The Legend of Zelda 25th Anniversary Gerudo Valley [HD],Dweezil Moonunit,42248,The Legend of Zelda
1551,Title Super Mario World Remastered,Aqua MIDI,41399,Super Mario World
1553,Mega Man 9 OST – Tornado Man Stage Theme,Nintendo Force Magazine,41159,Mega Man
1556,[OST] Pikmin 3 – Today s Report,NintendoViewer,40436,Pikmin 3
